freq	lemma	category
16	rattle	toy
15	slimy	property
15	mushroom	plant
15	peck	action
15	crunch	sound
15	comb	tool
15	hut	place
15	damp	property
15	pointer	object
15	weed	plant
15	lunchtime	other
15	playhouse	place
15	scooter	toy
15	thumb	body
15	theater	place
15	underground	place
15	fog	weather
15	sew	action
15	fizzy	property
15	onion	food
15	swimmer	other
15	chick	animal
14	shopkeeper	other
14	lobster	animal
14	beam	object
14	fetch	action
14	syrup	food
14	highway	place
14	fin	body
14	drip	action
14	swimsuit	clothing
14	whisker	body
14	peak	nature
14	leash	tool
14	wavy	property
14	slip	action
14	frown	feeling
14	lump	property
14	crib	object
14	lamb	animal
14	dome	place
14	pole	object
14	fry	action
14	signal	object
14	hamster	animal
14	wiggle	action
14	fabric	object
14	cluck	sound
14	wallet	object
14	cast	action
13	zip	action
13	pear	food
13	flap	action
13	bare	property
13	mold	object
13	sniff	action
13	chat	action
13	folder	object
13	heater	object
13	icy	property
13	zipper	clothing
13	scare	feeling
13	windmill	object
13	disappear	action
13	emperor	other
13	puff	action
13	peach	food
13	broccoli	food
13	tin	object
12	stiff	property
12	crumbly	property
12	narrow	property
12	trust	feeling
12	crumb	food
12	mailman	other
12	gorilla	animal
12	torch	object
12	grill	tool
12	vinegar	food
12	knot	object
12	password	other
12	silent	property
12	blink	action
12	swish	sound
12	dim	property
12	daisy	plant
12	toad	animal
12	inhaler	tool
12	tricky	property
12	arrow	object
12	mailbox	object
12	pajama	clothing
12	danger	feeling
12	dial	object
12	campfire	nature
11	llama	animal
11	pal	family
11	cheetah	animal
11	stinky	property
11	smoky	property
11	chef	other
11	sushi	food
11	throne	object
11	steady	property
11	warmth	feeling
11	bolt	object
11	shampoo	object
11	ache	feeling
11	stretchy	property
11	flush	action
11	jumper	clothing
11	flip	action
11	pit	nature
11	clang	sound
11	soapy	property
11	palm	body
11	fireplace	object
11	spaceship	object
11	raincoat	clothing
11	pinch	action
11	pad	object
11	drill	tool
11	explorer	other
11	rumble	sound
11	cardboard	object
11	crackle	sound
11	whiteboard	object
11	moss	plant
11	bunch	other
10	classmate	other
10	harbor	place
10	hike	action
10	scrub	action
10	sixty	other
10	pyjama	clothing
10	winner	other
10	spear	tool
10	keyboard	object
10	couch	object
10	stripe	property
10	lunchbox	object
10	upset	feeling
10	seesaw	toy
10	bloom	action
10	howl	sound
10	jupiter	nature
10	stool	object
10	thief	other
10	siren	sound
10	olive	food
10	bookshelf	object
10	trail	nature
10	odd	property
10	burger	food
10	cushion	object
10	steep	property
10	mitten	clothing
10	squeak	sound
10	postman	other
10	sweep	action
10	carve	action
10	sweat	body
10	cactus	plant
10	laundry	action
10	recycle	action
